from_node_id,to_node_id,cumulative_arrival_count,cumulative_departure_count,travel_time_in_min
1,2,1,0,1.0
2,9,0,0,1.0
9,3,0,0,1.0
2,3,0,0,1.0
3,10,0,0,1.0
10,4,0,0,1.0
3,4,0,0,1.0
4,5,0,0,1.0
5,11,0,0,1.0
11,6,0,0,1.0
5,6,0,0,1.0
6,7,0,0,1.0
7,12,0,0,1.0
12,8,0,0,1.0
7,8,0,0,1.0
13,9,1,0,1.0
14,10,0,0,1.0
11,15,0,0,1.0
12,16,0,0,1.0
8,17,0,0,1.0
1,2,0,1,1.0
2,9,1,0,1.0
9,3,1,0,1.0
2,3,0,0,1.0
3,10,0,0,1.0
10,4,0,0,1.0
3,4,0,0,1.0
4,5,0,0,1.0
5,11,0,0,1.0
11,6,0,0,1.0
5,6,0,0,1.0
6,7,0,0,1.0
7,12,0,0,1.0
12,8,0,0,1.0
7,8,0,0,1.0
13,9,0,1,1.0
14,10,0,0,1.0
11,15,0,0,1.0
12,16,0,0,1.0
8,17,0,0,1.0
1,2,0,0,1.0
2,9,0,0,1.0
9,3,0,0,1.0
2,3,0,0,1.0
3,10,0,0,1.0
10,4,0,0,1.0
3,4,0,0,1.0
4,5,0,0,1.0
5,11,0,0,1.0
11,6,0,0,1.0
5,6,0,0,1.0
6,7,0,0,1.0
7,12,0,0,1.0
12,8,0,0,1.0
7,8,0,0,1.0
13,9,0,0,1.0
14,10,0,0,1.0
11,15,0,0,1.0
12,16,0,0,1.0
8,17,0,0,1.0
1,2,0,0,1.0
2,9,0,0,1.0
9,3,0,0,1.0
2,3,0,0,1.0
3,10,0,0,1.0
10,4,0,0,1.0
3,4,0,0,1.0
4,5,0,0,1.0
5,11,0,0,1.0
11,6,0,0,1.0
5,6,0,0,1.0
6,7,0,0,1.0
7,12,0,0,1.0
12,8,0,0,1.0
7,8,0,0,1.0
13,9,0,0,1.0
14,10,0,0,1.0
11,15,0,0,1.0
12,16,0,0,1.0
8,17,0,0,1.0
1,2,1,0,1.0
2,9,0,0,1.0
9,3,0,0,1.0
2,3,0,0,1.0
3,10,0,0,1.0
10,4,0,0,1.0
3,4,0,1,1.0
4,5,1,0,1.0
5,11,0,0,1.0
11,6,0,0,1.0
5,6,0,0,1.0
6,7,0,0,1.0
7,12,0,0,1.0
12,8,0,0,1.0
7,8,0,0,1.0
13,9,0,0,1.0
14,10,0,0,1.0
11,15,0,0,1.0
12,16,0,0,1.0
8,17,0,0,1.0
1,2,0,2,1.0
2,9,0,0,1.0
9,3,0,0,1.0
2,3,1,0,1.0
3,10,0,0,1.0
10,4,0,0,1.0
3,4,0,0,1.0
4,5,0,1,1.0
5,11,1,0,1.0
11,6,0,0,1.0
5,6,0,0,1.0
6,7,0,0,1.0
7,12,0,0,1.0
12,8,0,0,1.0
7,8,0,0,1.0
13,9,0,0,1.0
14,10,0,0,1.0
11,15,0,0,1.0
12,16,0,0,1.0
8,17,0,0,1.0
